"ID","SKU","Product","Needs price","Needs image","Needs description"
"prod-imp-1785576583550-15","SICC","Small Ice Cream","","","Yes"
"prod-imp-1785576583550-8","SSCO","Small Spray","","","Yes"
"clearance-1789228921547-573","clearance-1789228921547-573","Square Bottle 35cl","Yes","Yes","Yes"
"prod-imp-1785576583554-87","TBST","String TBag","","","Yes"
"prod-imp-1785576583554-90","TYBG","Thank You","","","Yes"
"prod-imp-1785576583549-1","2LTB","Trans Bucket (2 Litres)","","","Yes"
"prod-1789458799427","4LTB","Trans Bucket (4 Litres)","","","Yes"
"prod-imp-1785576583550-2","5MTB","Trans Bucket (500ml)","","","Yes"
"prod-imp-1785576583553-52","WT10","WTB Pouch (100g)","","","Yes"
"prod-imp-1785576583553-55","WT1K","WTB Pouch (1KG)","","","Yes"
"prod-imp-1785576583553-53","WT25","WTB Pouch (250g)","","","Yes"
"prod-imp-1785576583553-54","WT50","WTB Pouch (500g)","","","Yes"
"prod-imp-1785576583550-3","1LWB","White Bucket (1 Litre)","","","Yes"
"prod-imp-1785576583550-4","5MWB","White Bucket (500ml)","","","Yes"
"prod-imp-1785576583553-72","WG25","White-Yellow (250g)","","","Yes"
"prod-imp-1785576583553-71","WY50","White-Yellow (500g)","","","Yes"
